,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
12,1975,Chainlink,LINK,chainlink,2015,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'polkadot', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'terra-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'cross-chain', 'cardano', 'injective-ecosystem', 'bnb-chain-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'gnosis-chain-ecosystem', 'sora-ecosystem', 'hoo-smart-chain-ecosystem', 'milkomeda-ecosystem', 'energi-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio']",,657099970.4527867,1000000000.0,False,,13,,,,2025-05-27T17:11:00.000Z,16.034650053628827,361148275.45317346,11.4149,0.41516816,2.85506431,3.34384368,10.6870665,14.17797561,3.75646654,10536368076.460276,0.3029,16034650053.63,,2025-05-27T17:11:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2025-05-27 19:12:56.815558
13,5805,Avalanche,AVAX,avalanche,916,2020-07-13T00:00:00.000Z,"['smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1', 'made-in-america']",715748719.0,421152926.1483426,456155626.1483426,False,,14,,,,2025-05-27T17:11:00.000Z,23.623116353746333,382939056.3381576,10.3206,1.06242433,1.8028334,6.46584686,8.45586938,19.18743786,5.70542333,9948944577.123034,0.2858,16908215268.98,,2025-05-27T17:11:00.000Z,,,,,,2025-05-27 19:12:56.815558
14,512,Stellar,XLM,stellar,708,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'defi', 'smart-contracts', 'hashkey-capital-portfolio', 'real-world-assets', '2017-2018-alt-season', 'made-in-america']",50001806812.0,31115809392.085503,50001786892.81785,False,,15,,,,2025-05-27T17:11:00.000Z,0.290124369230305,170680756.8762202,20.4614,0.25453378,1.49105203,2.63512091,2.13204638,6.99654181,-0.88027261,9027454572.969206,0.2593,14506742661.71,,2025-05-27T17:11:00.000Z,,,,,,2025-05-27 19:12:56.815558
0,1,Bitcoin,BTC,bitcoin,12193,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'us-strategic-crypto-reserve', 'binance-ecosystem']",21000000.0,19870703.0,19870703.0,False,,1,,,,2025-05-27T17:13:00.000Z,110209.99171327263,54392674447.625496,16.7469,0.13363628,0.69240414,3.90292314,17.07814427,31.81609721,26.57715818,2189950012966.9016,62.9145,2314409825978.73,,2025-05-27T17:13:00.000Z,,,,,,2025-05-27 19:13:57.516287
1,1027,Ethereum,ETH,ethereum,10313,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'ethereum-pow-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio', 'us-strategic-crypto-reserve', 'binance-ecosystem']",,120725747.86194856,120725747.86194856,True,,2,,,,2025-05-27T17:13:00.000Z,2688.0116327741966,23585529229.42049,58.0796,0.97059303,5.61535657,7.65519632,49.27288865,43.89073898,11.93470892,324512214628.28235,9.3189,324512214628.28,,2025-05-27T17:13:00.000Z,,,,,,2025-05-27 19:13:57.516287
2,825,Tether USDt,USDT,tether,129820,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'rsk-rbtc-ecosystem', 'world-liberty-financial-portfolio']",,152755320500.2985,156004270711.96384,True,,3,,,,2025-05-27T17:12:00.000Z,1.00030526687235,83107459127.62279,23.5669,-0.01171961,0.00877696,0.03954055,-0.00335893,0.09078509,0.15040707,152801951639.22244,4.3898,156051893647.76,,2025-05-27T17:12:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-05-27 19:13:57.516287
3,52,XRP,XRP,xrp,1615,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america', 'us-strategic-crypto-reserve']",100000000000.0,58686007292.0,99986107098.0,False,,4,,,,2025-05-27T17:13:00.000Z,2.3437891853132924,2323824386.9924603,14.1534,0.40973346,1.44783341,-0.1553208,4.77466403,8.3896341,3.58910585,137547629220.2066,3.9499,234378918531.33,,2025-05-27T17:13:00.000Z,,,,,,2025-05-27 19:13:57.516287
4,1839,BNB,BNB,bnb,2550,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,140887963.92000002,140887963.92000002,False,,5,,,,2025-05-27T17:12:00.000Z,693.9499926245987,1947837818.057469,22.0412,0.21115119,2.84789032,7.22663602,15.51400077,11.73527882,12.41000083,97769201523.17874,2.8076,97769201523.18,,2025-05-27T17:12:00.000Z,,,,,,2025-05-27 19:13:57.516287
5,5426,Solana,SOL,solana,926,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america', 'us-strategic-crypto-reserve']",,520404077.2033777,601680079.5225035,True,,6,,,,2025-05-27T17:13:00.000Z,178.77196081211022,3538744209.6436815,18.4735,0.59263303,1.65098486,6.99086878,20.07208417,38.23882986,30.17495961,93033657296.26462,2.6734,107563527597.82,,2025-05-27T17:13:00.000Z,,,,,,2025-05-27 19:13:57.516287
6,3408,USDC,USDC,usd-coin,28254,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'usd-stablecoin', 'ethereum-pow-ecosystem', 'fiat-stablecoin', 'tron20-ecosystem', 'made-in-america', 'world-liberty-financial-portfolio']",,61489622190.3465,61489622190.3465,False,,7,,,,2025-05-27T17:13:00.000Z,0.9998433412844816,11839347545.838999,10.2083,0.01387391,0.01481882,0.01256946,-0.01250981,-0.01346283,-0.00286477,61479989305.11645,1.7662,61479989305.12,,2025-05-27T17:13:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-05-27 19:13:57.516287
